name,rarity,description,type
Aragorn,Unique,Response: After Aragorn commits to a quest. spend 1 resource from his resource pool to ready him.,Hero
Theodred,Unique,Response: After ThEodred commits to a quest. choose a hero committed to that quest.  Add 1 resource to that heros resource pool.,Hero
Gloin,Unique,Response: After Gloin suffers damage. add 1 resource to his resource pool for each point of damage he just suffered.,Hero
Gimli,Unique,Gimli gets +1 Attack for each damage token on him.,Hero
Legolas,Unique,Response: After Legolas participates in an attack that destroys an enemy. place 2 progress tokens on the current quest.,Hero
Thalin,Unique,While Thalin is committed to a quest. deal 1 damage to each enemy as it is revealed by the encounter deck.,Hero
Eowyn,Unique,Action: Discard 1 card from your hand to give Eowyn +1 Willpower until the end of the phase. This effect may be triggered by each player once each round.,Hero
Eleanor,Unique,"Response: Exhaust Eleanor to cancel the ""when revealed"" effects of a treachery card just revealed by the encounter deck. Then. discard that card. and replace it with the next card from the encounter deck.",Hero
Dunhere,Unique,Dunhere can target enemies in the staging area when he attacks alone. When doing so. he gets +1 Attack.,Hero
Denethor,Unique,Action: Exhaust Denethor to look at the top card of the encounter deck. You may move that card to the bottom of the deck.,Hero
Glorfindel (CORE),Unique,Action: Pay 1 resource from Glorfindels pool to heal 1 damage on any character. (Limit once per round.),Hero
Beravor,Unique,Action: Exhaust Beravor to choose a player. That player draws 2 cards.,Hero
Guard of the Citadel,,,Ally
Faramir,Unique,Action: Exhaust Faramir to choose a player. Each character controlled by that player gets +1 Willpower until end of the phase.,Ally
Son of Arnor,,Response: After Son of Arnor enters play. choose an enemy card in the staging area or currently engaged with another player. Engage that enemy.,Ally
Snowbourn Scout,,Response: After Snowbourn Scout enters play. choose a location. Place 1 progress token on that location.,Ally
Silverlode Archer,,,Ally
Longbeard Orc Slayer,,Response: After Longbeard Orc Slayer enters play. deal 1 damage to each Orc enemy in play.,Ally
Brok Ironfist,Unique,Response: After a Dwarf hero you control leaves play. put Brok Ironfist into play from your hand.,Ally
Ever Vigilant,,Action: Choose and ready 1 ally card.,Event
Common Cause,,Action: Exhaust 1 hero you control to choose and ready a different hero.,Event
For Gondor!,,Action: Until the end of the phase. all characters get +1 Attack. All Gondor characters also get +1 Defense until the end of the phase.,Event
Sneak Attack,,Action: Put 1 ally card into play from your hand. At the end of the phase. if that ally is still in play. return it to your hand.,Event
Valiant Sacrifice,,Response: After an ally card leaves play. that cards controller draws 2 cards.,Event
Grim Resolve,,Action: Ready all character cards in play.,Event
Steward of Gondor,Unique,Attach to a hero. Attached hero gains the Gondor trait. Action: Exhaust Steward of Gondor to add 2 resources to attached heros resource pool.,Attachment
Celebríans Stone,Unique,Attach to a hero. Restricted. Attached hero gains +2 Willpower. If attached hero is Aragorn. he also gains a Spirit resource icon.,Attachment
Veteran Axehand,,,Ally
Gondorian Spearman,,Response: After Gondorian Spearman is declared as a defender. deal 1 damage to the attacking enemy.,Ally
Horseback Archer,,,Ally
Beorn,Unique,Action: Beorn gains +5 Attack until the end of the phase. At the end of that phase in which you trigger this effect. shuffle Beorn back into your deck. (Limit once per round.),Ally
Blade Mastery,,Action: Choose a character. Until the end of the phase. that character gains +1 Attack and +1 Defense.,Event
Rain of Arrows,,Action: Exhaust a character you control with the ranged keyword to choose a player. Deal 1 damage to each enemy engaged with that player.,Event
Feint,,Combat Action: Choose an enemy engaged with a player. That enemy cannot attack this phase.,Event
Quick Strike,,Action: Exhaust a character you control to immediately declare it as an attacker (and resolve this attack) against any eligible enemy target.,Event
Thicket of Spears,,You must use resources from 3 different heroes pools to pay for this card. Action: Choose a player. That players engaged enemies do not attack this phase.,Event
Swift Strike,,Response: After a character is declared as a defender. deal 2 damage to the attacking enemy.,Event
Stand Together,,Action: Choose a player. That player may declare any number of his eligible characters as defenders against each enemy attacking him this phase.,Event
Blade of Gondolin,,Attach to a hero. Restricted. Attached hero gets +1 Attack when attacking an Orc. Response: After attached hero attacks and destroys an enemy. place 1 progress token on the current quest.,Attachment
Citadel Plate,,Attach to hero. Restricted. Attached hero gets +4 Hit Points.,Attachment
Dwarven Axe,,Attach to a hero. Restricted. Attached hero gains +1 Attack. (+2 Attack instead if attached hero is a Dwarf.),Attachment
Horn of Gondor,Unique,Attach to a hero. Restricted. Response: After a character leaves play. add 1 resource to attached heros pool.,Attachment
Wandering Took,,Action: Reduce your threat by 3 to give control of Wandering Took to another player. Raise that players threat by 3.,Ally
Lorien Guide,,Response: After Lorien Guide commits to a quest. place 1 progress token on the active location.,Ally
Northern Tracker,,Response: After Northern Tracker commits to a quest. place 1 progress token on each location in the staging area.,Ally
The Galadhrims Greeting,,Action: Reduce one players threat by 6. or reduce each players threat by 2.,Event
Strength of Will,,Response: After you travel to a location. exhaust a Spirit character to place 2 progress tokens on that location.,Event
Hasty Stroke,,Response: Cancel a shadow effect just triggered during combat.,Event
Will of the West,,Action: Choose a player. Shuffle that players discard pile back into his deck.,Event
A Test of Will,,"Response: Cancel the ""when revealed"" effects of a card that was just revealed from the encounter deck.",Event
Stand and Fight,,Action: Choose an ally with a printed cost of X in any players discard pile. Put that ally into play under your control. (The chosen ally can belong to any sphere of influence.),Event
A Light in the Dark,,Action: Choose an enemy engaged with a player. Return that enemy to the staging area.,Event
Dwarven Tomb,,Action: Return 1 Spirit card from your discard pile to your hand.,Event
Fortune or Fate,,Action: Choose a hero in any players discard pile. Put that card into play. under its owners control.,Event
The Favor of the Lady,,Attach to a hero. Attached hero gains +1 Willpower.,Attachment
Power in the Earth,,Attach to a location. Attached location gets -1 Threat.,Attachment
Unexpected Courage,,Attach to a hero. Action: Exhaust Unexpected Courage to ready attached hero.,Attachment
Daughter of the Nimrodel,,Action: Exhaust Daughter of the Nimrodel to heal up to 2 damage on any 1 hero.,Ally
Erebor Hammersmith,,Response: After you play Erebor Hammersmith. return the topmost attachment in any players discard pile to his hand.,Ally
Henemarth Riversong,Unique,Action: Exhaust Henemarth Riversong to look at the top card of the encounter deck.,Ally
Miner of the Iron Hills,,Response: After Miner of the Iron Hills enters play. choose and discard 1 Condition attachment from play.,Ally
GlEowine,Unique,Action: Exhaust GlEowine to choose a player. That player draws 1 card.,Ally
Lore of Imladris,,Action: Choose a character. Heal all damage from that character.,Event
Loriens Wealth,,Action: Choose a player. That player draws 3 cards.,Event
Radagasts Cunning,,Quest Action: Choose an enemy in the staging area. Until the end of the phase. that enemy does not contribute its Threat.,Event
Secret Paths,,Quest Action: Choose a location in the staging area. Until the end of the phase. that location does not contribute its Threat.,Event
Gandalfs Search,,Action: Look at the top X cards of any players deck. add 1 of those cards to its owners hand. and return the rest to the top of the deck in any order.,Event
Beorns Hospitality,,Action: Choose a player. Heal all damage on each hero controlled by that player.,Event
Forest Snare,,Attach to an enemy engaged with a player. Attached enemy cannot attack.,Attachment
Protector of Lorien,,Attach to a hero. Action: Discard a card from your hand to give attached hero +1 Defense or +1 Willpower until the end of the phase.,Attachment
Dark Knowledge,,Attach to a hero. Attached hero gets -1 Willpower. Response: Exhaust Dark Knowledge to look at 1 shadow card that was just dealt to an enemy attacking you.,Attachment
Self Preservation,,"Attach to a character.  Action: Exhaust Self Preservation to heal 2 points of damage from attached character.",Attachment
Gandalf (Core),Unique,"At the end of the round. discard Gandalf from play.  Response: After Gandalf enters play. (choose 1): draw 3 cards. deal 4 damage to 1 enemy in play. or reduce your threat by 5.",Ally
King Spider,,When Revealed: Each player must choose and exhaust 1 character he controls. ,Enemy
Hummerhorns,,Forced: After Hummerhorns engages you. deal 5 damage to a single hero you control.,Enemy
Ungoliants Spawn,,When Revealed: Each character currently committed to a quest gets -1 Willpower until the end of the phase.,Enemy
Great Forest Web,,Travel: Each player must exhaust 1 hero he controls to travel here.,Location
Mountains of Mirkwood,,"Travel: Reveal the top card of the encounter deck and add it to the staging area to travel here.  Response: After Mountains of Mirkwood leaves play as an explored location. each player may search the top 5 cards of his deck for 1 card and add it to his hand. Shuffle the rest of the searched cards back into their owners decks.",Location
Eyes of the Forest,,When Revealed: Each player discards all event cards in his hand.,Treachery
Caught in the Web,,"When Revealed: The player with the highest threat level attaches this card to one of his heroes. (Counts as a Condition attachment with the text: ""Attached hero does not ready during the refresh phase unless you pay 2 resources from that heros pool."")",Treachery
Wolf Rider,,,Enemy
Hill Troll,,Excess combat damage dealt by Hill Troll (damage that is dealt beyond the remaining hit points of the character damaged by its attack) must be assigned as an increase to your threat.,Enemy
Goblin Sniper,,During the encounter phase. players cannot optionally engage Goblin Sniper if there are other enemies in the staging area. Forced: If Goblin Sniper is in the staging area at the end of the combat phase. each player deals 1 point of damage to 1 character he controls.,Enemy
Marsh Adder,,Forced: Each time Marsh Adder attacks you. raise your threat by 1.,Enemy
Wargs,,Forced: If Wargs is dealt a shadow card with no effect. return Wargs to the staging area after it attacks.,Enemy
Despair,,When Revealed: Remove 4 progress tokens from the current quest card. (If there are fewer than 4 progress tokens on the quest. remove all progress tokens from that quest.),Treachery
The Brown Lands,,Forced: After the players travel to The Brown Lands. place 1 progress token on it.,Location
The East Bight,,When faced with the option to travel. the players must travel to The East Bight if there is no active location.,Location
Dol Guldur Orcs,,When Revealed: The first player chooses 1 character currently committed to a quest. Deal 2 damage to that character.,Enemy
Chieftan Ufthak,,"Chieftan Ufthak gets +2 Attack for each resource token on him. Forced: After Chieftan Ufthak attacks. place 1 resource token on him.",Enemy
Dol Guldur Beastmaster,,Forced: After Dol Guldur Beastmaster attacks. deal it 1 additional shadow card.,Enemy
