name,description,type
Albert Wesker,"Level 1 (2): Whenever Albert explores, you get +20 gold; Level 2 (9): Choose a player. That player gets +1 explore on his next turn and must explore that turn",Human
Leon S. Kennedy,Level 1 (2): All your “Pistol” weapons get -10 ammo requirement; Level 2 (6): All your “Pistol” weapons may be used twice per turn,Human
Claire Redfield,Level 1 (2): Each ammunition card in your play area provides an additional +10 ammo; Level 2 (6): Each ammunition card in your play area provides an additional +10 gold,Human
Sheva Alomar ,"Level 1 (2): During your turn, you may exchange one card in your hand with the top card of your inventory; Level 2 (4): All your “Rifle” weapons get -20 ammo requirement",Human
Barry Burton,"Level 1 (2): When Barry attacks a character or explores, you may give +5 damage to one weapon Barry is using this turn; Level 2 (7): All your “Magnum” weapons get +20 damage",Human
Ada Wong,"Level 1 (4): When Ada explores, you may look at the top card of the mansion. You may move this card to the bottom of the mansion; Level 2 (8): At the beginning of your turn, you may choose to get +1 action and -1 buy this turn",Human
Jack Krauser,"Level 1 (1): At the beginning of your turn, you may gain one “Knife” weapon from the resource area; Level 2 (7): All your “Knife” weapons get +5 damage",Human
Chris Redfield,Level 1 (0): Chris cannot attach non-infected cards and cannot be healed; Level 2 (4): One weapon Chris is using gets +5 damage for each infected he is fighting against,Human
Jill Valentine,"Level 1 (5): All your ""Explosive"" weapons get +5 damage; Level 2 (8): All your explosive weapons go to your discard pile instead of being trashed",Human
Rebecca Chambers,"Level 1 (2): When you would trash a card, you may move it to another player's discard pile instead; Level 2 (4): At the beginning of your turn, you may trash one card from your discard pile",Human
Jill Valentine (LiN),"Level 1 (8): At the beginning of your turn, you may may choose to discard your hand and end your turn. If you do, you get +5 cards, +1 action, +1 buy, and +1 explore on your next turn",Human
Chris Redfield (LiN),Level 1 (4): Reduce any damage dealt to Chris from infected by 10; Level 2 (8): +1 Explore. Reduce any damage dealt to Chris from weapons by 10 ,Human
Albert Wesker,"Level 1 (2): During your turn, if Albert's maximum health is 80 or less, you may choose to get +1 card; Level 2 (6): During your turn, if Albert's maximum health is 60 or less, you may choose to get +1 explore",Human
Carlos Oliveira,"Level 1 (2): When Carlos explores, you may look at the top card of the mansion before playing weapons; Level 2 (8): If your characters' total damage is equal to the total health of all revealed infected, you may move one card from your discard pile to your hand after Carlos explores",Human
Josh Stone,Level 1 (0): Josh cannot use weapons with a cost of 50 or more; Level 2 (4): Josh's partner may attach up to 2 additional cards,Human
Steve Burnside,"Level 1 (4): At the beginning of your turn, heal Steve by 10; Level 2 (8): During your turn, you may discard an ""Uroboros Injection"" from your hand. If you do, heal Steve by 20 and he deals an additional 30 damage this turn",Human
Jack Krauser,"Level 1 (1): Jack cannot use more than one weapon; Level 2 (6): Jack deals an additional ""X"" damage this turn, where ""X"" is the number of cards in your hand times 10",Human
Hunk,"Level 1 (3): Whenever Hunk would take damage, you may redirect it to his partner instead; Level 2 (6): At the beginning of your turn, Hunk gets +2 cards if he has no partner",Human
Jill Valentine (Brainwashed),"Level 1 (1): When Jill explores, one weapon she is using gets +10 damage if her partner has one or fewer cards attached; Level 2 (6): During another player's turn, when a ""Las Plagas"" infected is revealed, you may trash a ""Flash Grenade"" from your hand and apply it's effect ",Human
Billy Coen,"Level 1 (1): During your turn, you may gain one ""Ammo x 10"". If you do, you get +10 gold; Level 2 (5): During your turn, if you have 10 or more cards in your discard pile, you may move one of them to your hand",Human
Leon S. Kennedy,"Level 1 (1): During your turn, you may move one card from your discard pile to the bottom of your inventory; Level 2 (7): During your turn, you may move the bottom card of your inventory to the top",Human
Chris Redfield,"Level 1 (3): While Chris is using only one weapon, that weapon has a -20 ammo requirement; Level 2 (8): While Chris is using only one weapon type, weapons of that type have a -20 ammo requirement ",Human
Claire Redfield,"Level 1 (3): When you trash a ""Green Herb"" or ""Red Herb"" from your hand, Claire deals an additional 20 damage during this turn; Level 2 (7): When you trash a ""Green Herb"" and a ""Red Herb"" from your hand, double all damage Claire deals during this turn",Human
Excella Gionne,"Level 1 (2): During your turn, you may increase Excella's infection level by 1. If you do, you get +20 gold this turn; Level 2 (4): At the beginning of your turn, if Excella's infection level is 8 or higher, you get +3 cards",Human
Kevin Ryman,"Level 1 (0): At the beginning of the game, shuffle one “Samurai Edge” pistol from the resource pile or from outside the game into your inventory; Level 2 (8): During your turn, you may move one “Pistol” weapon in your play area to the top of your inventory",Human
