name,rarity,description,type
Tri-Horned Dragon,Secret Rare,An unworthy dragon with three sharp horns sprouting from its head.,Monster
Blue-Eyes White Dragon,Ultra Rare,This legendary dragon is a powerful engine of destruction. Virtually invincible very few have faced this awesome creature and lived to tell the tale.,Monster
Skull Servant,Common,A skeletal ghost that isnt strong but can mean trouble in large numbers.,Monster
Dark Magician,Ultra Rare,The ultimate wizard in terms of attack and defense. ,Monster
Gaia The Fierce Knight,Ultra Rare,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,Monster
Celtic Guardian,Super Rare,An elf who learned to wield a sword he baffles enemies with lighting-swift attacks. ,Monster
Basic Insect,Common,Usually found traveling in swarms this creatures ideal environment is the forest.,Monster
Silver Fang,Common,A snow wolf thats beautiful to the eye but absolutely vicious in battle.,Monster
Dark Gray,Common,Entirely gray this beast has rarely been seen by mortal eyes. ,Monster
Nemuriko,Common,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.,Monster
The 13th Grave,Common,A zombie that suddenly appeared from plot #13 - an empty grave.,Monster
Charubin the Fire Knight,Rare,Monster Egg + Hinotama Soul,Monster
Flame Manipulator,Common,This Spellcaster attacks enemies with fire-related spells such as Sea of Flames and Wall of Fire.,Monster
Monster Egg,Common,A warrior hidden within an egg that attacks enemies by flinging eggshells.,Monster
Firegrass,Common,A fire-breathing plant found growing near volcanoes.,Monster
Darkfire Dragon,Rare,Firegrass + Petit Dragon,Monster
Dark King of the Abyss,Common,Its said that this King of the Netherworld once had the power to rule over the dark. ,Monster
Fiend Reflection #2,Common,A bird-beast that summons reinforcements with a hand mirror.,Monster
Turtle Tiger,Common,A tiger encased in a protective shell that attacks with razor sharp fangs.,Monster
Petit Dragon,Common,A very small dragon known for its vicious attacks.,Monster
Hinotama Soul,Common,An intensely hot flame creature that rams anything standing in its way.,Monster
Aqua Madoor,Rare,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,Monster
Kagemusha of the Blue Flame,Common,Serving as a double for the Ruler of the Blue Flame hes a master swordsman that wields a fine blade.,Monster
Flame Ghost,Rare,Skull Servant + Dissolverock,Monster
Two-Mouth Darkruler,Common,A dinosaur with two deadly jaws it stores electricity in its horn and releases high voltage bolts from the mouth on its back.,Monster
Dissolverock,Common,A Monster born in the lava pits it generates intense heat that can melt away its enemies.,Monster
Root Water,Common,An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy Monsters.,Monster
The Furious Sea King,Common,Grand King of the Seven Seas hes able to summon massive tidal waves to drown the enemy.,Monster
Green Phantom King,Common,This youthful king of the forests lives in a green world abundant with trees and wildlife.,Monster
Ray & Temperature,Common,The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.,Monster
King Fog,Common,A fiend that dwells in a blinding curtain of smoke.,Monster
