Card Name,Cost,Rarity,Description,Type,ImageID
Tri-Horned Dragon,0,Secret Rare,An unworthy dragon with three sharp horns sprouting from its head.,Monster,
Blue-Eyes White Dragon,0,Ultra Rare,This legendary dragon is a powerful engine of destruction. Virtually invincible very few have faced this awesome creature and lived to tell the tale.,Monster,
Skull Servant,0,Common,A skeletal ghost that isnt strong but can mean trouble in large numbers.,Monster,
Dark Magician,0,Ultra Rare,The ultimate wizard in terms of attack and defense. ,Monster,
Gaia The Fierce Knight,0,Ultra Rare,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,Monster,
Celtic Guardian,0,Super Rare,An elf who learned to wield a sword he baffles enemies with lighting-swift attacks. ,Monster,
Basic Insect,0,Common,Usually found traveling in swarms this creatures ideal environment is the forest.,Monster,
Silver Fang,0,Common,A snow wolf thats beautiful to the eye but absolutely vicious in battle.,Monster,
Dark Gray,0,Common,Entirely gray this beast has rarely been seen by mortal eyes. ,Monster,
Nemuriko,0,Common,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.,Monster,
The 13th Grave,0,Common,A zombie that suddenly appeared from plot #13 - an empty grave.,Monster,
Charubin the Fire Knight,0,Rare,Monster Egg + Hinotama Soul,Monster,
Flame Manipulator,0,Common,This Spellcaster attacks enemies with fire-related spells such as Sea of Flames and Wall of Fire.,Monster,
Monster Egg,0,Common,A warrior hidden within an egg that attacks enemies by flinging eggshells.,Monster,
Firegrass,0,Common,A fire-breathing plant found growing near volcanoes.,Monster,
Darkfire Dragon,0,Rare,Firegrass + Petit Dragon,Monster,
Dark King of the Abyss,0,Common,Its said that this King of the Netherworld once had the power to rule over the dark. ,Monster,
Fiend Reflection #2,0,Common,A bird-beast that summons reinforcements with a hand mirror.,Monster,
Turtle Tiger,0,Common,A tiger encased in a protective shell that attacks with razor sharp fangs.,Monster,
Petit Dragon,0,Common,A very small dragon known for its vicious attacks.,Monster,
Hinotama Soul,0,Common,An intensely hot flame creature that rams anything standing in its way.,Monster,
Aqua Madoor,0,Rare,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,Monster,
Kagemusha of the Blue Flame,0,Common,Serving as a double for the Ruler of the Blue Flame hes a master swordsman that wields a fine blade.,Monster,
Flame Ghost,0,Rare,Skull Servant + Dissolverock,Monster,
Two-Mouth Darkruler,0,Common,A dinosaur with two deadly jaws it stores electricity in its horn and releases high voltage bolts from the mouth on its back.,Monster,
Dissolverock,0,Common,A Monster born in the lava pits it generates intense heat that can melt away its enemies.,Monster,
Root Water,0,Common,An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy Monsters.,Monster,
The Furious Sea King,0,Common,Grand King of the Seven Seas hes able to summon massive tidal waves to drown the enemy.,Monster,
Green Phantom King,0,Common,This youthful king of the forests lives in a green world abundant with trees and wildlife.,Monster,
Ray & Temperature,0,Common,The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.,Monster,
King Fog,0,Common,A fiend that dwells in a blinding curtain of smoke.,Monster,
Legendary Sword,0,Short Print,A Warrior-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Beast Fangs,0,Short Print,A Beast-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Violet Crystal,0,Short Print,A Zombie-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Book of Secret Arts,0,Short Print,A Spellcaster-Type Monster equipped with this card increases its ATK and DEF by 300 points.,Spell,
Dragon Capture Jar,0,Rare,All Dragon-Type Monsters on the field are switched to Defense Position and remain in this position as long as this card is active.,Trap,
Forest,0,Common,Increases the ATK and DEF of all Insect Beast Plant and Beast-Warrior-Type Monsters by 200 points.,Spell,
Wasteland,0,Common,Increases the ATK and DEF of all Dinosaur Zombie and Rock-Type Monsters by 200 points.,Spell,
